ponto,latitude,longitude,altitude_elipsoidal,descricao
1,-22.980,-43.204,12.0,Ipanema_Grid_001
2,-22.980,-43.203,11.9,Ipanema_Grid_002
3,-22.980,-43.202,11.8,Ipanema_Grid_003
4,-22.980,-43.201,11.7,Ipanema_Grid_004
5,-22.980,-43.200,11.6,Ipanema_Grid_005
6,-22.980,-43.199,11.5,Ipanema_Grid_006
7,-22.980,-43.198,11.4,Ipanema_Grid_007
8,-22.980,-43.197,11.3,Ipanema_Grid_008
9,-22.980,-43.196,11.2,Ipanema_Grid_009
10,-22.980,-43.195,11.1,Ipanema_Grid_010
11,-22.981,-43.204,12.2,Ipanema_Grid_011
12,-22.981,-43.203,12.1,Ipanema_Grid_012
13,-22.981,-43.202,12.0,Ipanema_Grid_013
14,-22.981,-43.201,11.9,Ipanema_Grid_014
15,-22.981,-43.200,11.8,Ipanema_Grid_015
16,-22.981,-43.199,11.7,Ipanema_Grid_016
17,-22.981,-43.198,11.6,Ipanema_Grid_017
18,-22.981,-43.197,11.5,Ipanema_Grid_018
19,-22.981,-43.196,11.4,Ipanema_Grid_019
20,-22.981,-43.195,11.3,Ipanema_Grid_020
21,-22.982,-43.204,12.4,Ipanema_Grid_021
22,-22.982,-43.203,12.3,Ipanema_Grid_022
23,-22.982,-43.202,12.2,Ipanema_Grid_023
24,-22.982,-43.201,12.1,Ipanema_Grid_024
25,-22.982,-43.200,12.0,Ipanema_Grid_025
26,-22.982,-43.199,11.9,Ipanema_Grid_026
27,-22.982,-43.198,11.8,Ipanema_Grid_027
28,-22.982,-43.197,11.7,Ipanema_Grid_028
29,-22.982,-43.196,11.6,Ipanema_Grid_029
30,-22.982,-43.195,11.5,Ipanema_Grid_030
31,-22.983,-43.204,12.6,Ipanema_Grid_031
32,-22.983,-43.203,12.5,Ipanema_Grid_032
33,-22.983,-43.202,12.4,Ipanema_Grid_033
34,-22.983,-43.201,12.3,Ipanema_Grid_034
35,-22.983,-43.200,12.2,Ipanema_Grid_035
36,-22.983,-43.199,12.1,Ipanema_Grid_036
37,-22.983,-43.198,12.0,Ipanema_Grid_037
38,-22.983,-43.197,11.9,Ipanema_Grid_038
39,-22.983,-43.196,11.8,Ipanema_Grid_039
40,-22.983,-43.195,11.7,Ipanema_Grid_040
41,-22.984,-43.204,12.8,Ipanema_Grid_041
42,-22.984,-43.203,12.7,Ipanema_Grid_042
43,-22.984,-43.202,12.6,Ipanema_Grid_043
44,-22.984,-43.201,12.5,Ipanema_Grid_044
45,-22.984,-43.200,12.4,Ipanema_Grid_045
46,-22.984,-43.199,12.3,Ipanema_Grid_046
47,-22.984,-43.198,12.2,Ipanema_Grid_047
48,-22.984,-43.197,12.1,Ipanema_Grid_048
49,-22.984,-43.196,12.0,Ipanema_Grid_049
50,-22.984,-43.195,11.9,Ipanema_Grid_050
51,-22.985,-43.204,13.0,Ipanema_Grid_051
52,-22.985,-43.203,12.9,Ipanema_Grid_052
53,-22.985,-43.202,12.8,Ipanema_Grid_053
54,-22.985,-43.201,12.7,Ipanema_Grid_054
55,-22.985,-43.200,12.6,Ipanema_Grid_055
56,-22.985,-43.199,12.5,Ipanema_Grid_056
57,-22.985,-43.198,12.4,Ipanema_Grid_057
58,-22.985,-43.197,12.3,Ipanema_Grid_058
59,-22.985,-43.196,12.2,Ipanema_Grid_059
60,-22.985,-43.195,12.1,Ipanema_Grid_060
61,-22.986,-43.204,13.2,Ipanema_Grid_061
62,-22.986,-43.203,13.1,Ipanema_Grid_062
63,-22.986,-43.202,13.0,Ipanema_Grid_063
64,-22.986,-43.201,12.9,Ipanema_Grid_064
65,-22.986,-43.200,12.8,Ipanema_Grid_065
66,-22.986,-43.199,12.7,Ipanema_Grid_066
67,-22.986,-43.198,12.6,Ipanema_Grid_067
68,-22.986,-43.197,12.5,Ipanema_Grid_068
69,-22.986,-43.196,12.4,Ipanema_Grid_069
70,-22.986,-43.195,12.3,Ipanema_Grid_070
71,-22.987,-43.204,13.4,Ipanema_Grid_071
72,-22.987,-43.203,13.3,Ipanema_Grid_072
73,-22.987,-43.202,13.2,Ipanema_Grid_073
74,-22.987,-43.201,13.1,Ipanema_Grid_074
75,-22.987,-43.200,13.0,Ipanema_Grid_075
76,-22.987,-43.199,12.9,Ipanema_Grid_076
77,-22.987,-43.198,12.8,Ipanema_Grid_077
78,-22.987,-43.197,12.7,Ipanema_Grid_078
79,-22.987,-43.196,12.6,Ipanema_Grid_079
80,-22.987,-43.195,12.5,Ipanema_Grid_080
81,-22.988,-43.204,13.6,Ipanema_Grid_081
82,-22.988,-43.203,13.5,Ipanema_Grid_082
83,-22.988,-43.202,13.4,Ipanema_Grid_083
84,-22.988,-43.201,13.3,Ipanema_Grid_084
85,-22.988,-43.200,13.2,Ipanema_Grid_085
86,-22.988,-43.199,13.1,Ipanema_Grid_086
87,-22.988,-43.198,13.0,Ipanema_Grid_087
88,-22.988,-43.197,12.9,Ipanema_Grid_088
89,-22.988,-43.196,12.8,Ipanema_Grid_089
90,-22.988,-43.195,12.7,Ipanema_Grid_090
91,-22.989,-43.204,13.8,Ipanema_Grid_091
92,-22.989,-43.203,13.7,Ipanema_Grid_092
93,-22.989,-43.202,13.6,Ipanema_Grid_093
94,-22.989,-43.201,13.5,Ipanema_Grid_094
95,-22.989,-43.200,13.4,Ipanema_Grid_095
96,-22.989,-43.199,13.3,Ipanema_Grid_096
97,-22.989,-43.198,13.2,Ipanema_Grid_097
98,-22.989,-43.197,13.1,Ipanema_Grid_098
99,-22.989,-43.196,13.0,Ipanema_Grid_099
100,-22.989,-43.195,12.9,Ipanema_Grid_100
